Domain,QuestionType,Title,ContextText,Explanation,Difficulty,Status,Tags,QuestionId,System,Regulation,CorrectLevel,OptionA,OptionB,OptionC,OptionD,CorrectOption
Classification,MultipleChoice,Company Newsletter Draft,Monthly internal newsletter about upcoming team events and office updates.,Internal communications containing no personal data are typically classified as Internal.,easy,Active,,d01,,GDPR,,,,,,
Classification,MultipleChoice,Public Press Release,"Official press release about new product launch, approved for distribution.",Documents explicitly approved for public distribution should be classified as Public.,easy,Active,,d02,,GDPR,,,,,,
Classification,MultipleChoice,Employee Salary Spreadsheet,"Spreadsheet containing names, positions, and annual salaries for all department staff.",Salary data combined with employee names is highly sensitive PII requiring the strictest classification.,easy,Active,,d03,,GDPR,,,,,,
Classification,MultipleChoice,Product Roadmap Q3,Strategic product roadmap with competitive analysis and unreleased feature plans.,Strategic business documents with competitive intelligence are Confidential — disclosure could harm the company.,easy,Active,,d04,,CCPA,,,,,,
Classification,MultipleChoice,Open Source License File,Standard MIT license text for an open-source library used in the project.,Open-source licenses are inherently public documents.,easy,Active,,d05,,GDPR,,,,,,
Classification,MultipleChoice,Vendor NDA Agreement,Non-disclosure agreement template with vendor contact details and terms.,NDAs contain business-sensitive terms and should be classified as Confidential.,easy,Active,,d06,,GDPR,,,,,,
Classification,MultipleChoice,Office Floor Plan,"Building layout showing office seating, exits, and common areas.",Office layouts are internal operational documents — not public but not highly sensitive.,easy,Active,,d07,,GDPR,,,,,,
Classification,MultipleChoice,Customer Health Records,Medical screening results for insurance applicants including diagnoses and medications.,Health records are special category data under GDPR Article 9 and require the highest protection.,medium,Active,,d08,,GDPR,,,,,,
Classification,MultipleChoice,Database Backup Script,Automated backup script containing database connection strings and credentials.,Scripts with embedded credentials must be Highly Restricted — leaked credentials can lead to data breaches.,medium,Active,,d09,,CCPA,,,,,,
Classification,MultipleChoice,Marketing Campaign Materials,Draft social media posts and banner ads for upcoming campaign.,Pre-release marketing materials are Internal until approved for publication.,medium,Active,,d10,,GDPR,,,,,,
Classification,MultipleChoice,Board Meeting Minutes,Minutes from quarterly board meeting discussing financial performance and M&A targets.,Board minutes with M&A discussions are material non-public information — Highly Restricted.,medium,Active,,d11,,CCPA,,,,,,
Classification,MultipleChoice,Student Enrollment Records,"List of enrolled students with grades, addresses, and parent contact information.",Student records are protected under FERPA and must be Highly Restricted.,medium,Active,,d12,,FERPA,,,,,,
Classification,MultipleChoice,API Documentation,Public API reference docs for third-party developer integration.,Documentation intended for external developers is public by design.,medium,Active,,d13,,GDPR,,,,,,
Classification,MultipleChoice,Employee Performance Review,Annual performance evaluation with manager comments and improvement plans.,Performance reviews contain personal opinions and career-impacting data — Confidential.,medium,Active,,d14,,GDPR,,,,,,
Classification,MultipleChoice,Incident Response Playbook,Internal security procedures for handling data breaches and cyber incidents.,Security playbooks reveal defensive capabilities — classifying them protects your response strategy.,hard,Active,,d15,,GDPR,,,,,,
Classification,MultipleChoice,Customer SSN Export,CSV export containing customer names and Social Security Numbers for tax reporting.,SSNs are the most sensitive PII — always Highly Restricted with encryption required.,hard,Active,,d16,,CCPA,,,,,,
Classification,MultipleChoice,Anonymized Survey Results,Aggregated employee satisfaction survey with no identifying information.,"Properly anonymized data has lower classification, but keep Internal since it reveals organizational sentiment.",hard,Active,,d17,,GDPR,,,,,,
Classification,MultipleChoice,Pseudonymized Research Data,Clinical trial data with patient IDs replaced by random codes. Key file stored separately.,Pseudonymized data is still personal data under GDPR if re-identification is possible — Confidential minimum.,hard,Active,,d18,,GDPR,,,,,,
Classification,MultipleChoice,GDPR Subject Access Request,Compiled response to a data subject access request including all personal data held.,SAR responses consolidate all personal data about an individual — they require maximum protection.,hard,Active,,d19,,GDPR,,,,,,
Classification,MultipleChoice,Company Holiday Schedule,Official company-wide holiday and office closure calendar for the year.,"While seemingly simple, holiday schedules posted externally are Public. The trick is recognizing not everything from email is sensitive.",hard,Active,,d20,,GDPR,,,,,,
Handling,MultipleChoice,Unencrypted USB Found,A USB drive labeled 'Client Data' is found in the parking lot. It contains unencrypted spreadsheets.,Unknown USB devices should never be plugged into workstations. IT Security can safely analyze them in an isolated environment.,easy,Active,,h01,,,,Plug it into your workstation to check contents,Hand it to IT Security for forensic analysis,Place it in lost and found,Format the drive and reuse it,b
Handling,MultipleChoice,Email Forwarding Request,A colleague asks you to forward a confidential contract to their personal Gmail for 'weekend review'.,Confidential data should never leave corporate systems. VPN access allows secure remote work without data exfiltration risk.,easy,Active,,h02,,,,Forward it — they need to work,Decline and suggest using the company VPN instead,Forward it but password-protect the attachment,Report the request to your manager,b
Handling,MultipleChoice,Printer Left Unattended,You notice confidential HR documents sitting in the shared printer tray. No one is nearby.,Collect abandoned confidential printouts and return to the owning department. Don't read contents unnecessarily or destroy others' documents.,easy,Active,,h03,,,,Leave them — someone will collect them,Read them to identify the owner and deliver personally,Collect them and bring to HR directly,Shred them immediately,c
Handling,MultipleChoice,Cloud Storage Sync,You discover that a team member has been syncing the entire 'Confidential' project folder to their personal Dropbox.,Unauthorized data transfers to personal cloud storage is a security incident that must be reported to IT Security for proper remediation.,medium,Active,,h04,,,,Ask them to stop and delete the synced copy,Report to IT Security immediately,Ignore it — many people do this,Help them set up the approved enterprise cloud storage instead,b
Handling,MultipleChoice,Expired Access Rights,A former contractor still has active access to the customer database. They left 3 months ago.,Revoke access immediately and audit logs for unauthorized activity. Stale accounts are a top attack vector.,medium,Active,,h05,,,,Leave it — they might come back,Revoke access and audit recent activity logs,Send the contractor an email asking them not to use it,Just change the database password,b
Handling,MultipleChoice,Backup Tape Disposal,Old backup tapes from 2019 need to be disposed of. They contain customer PII.,Media containing PII must be securely destroyed with documented chain of custody. Simple overwriting may not be sufficient for tapes.,medium,Active,,h06,,,,Throw them in the regular trash,"Degauss and physically destroy, then document the destruction",Store them in a closet indefinitely,Overwrite them with new backups,b
Handling,MultipleChoice,Vendor Data Sharing,A vendor requests raw customer analytics data to 'improve their integration'. No DPA exists.,Never share personal data with third parties without a Data Processing Agreement. This is a legal requirement under GDPR Article 28.,medium,Active,,h07,,,,Share the data — they're a trusted vendor,Share anonymized/aggregated data only,Refuse until a Data Processing Agreement is signed,Share a sample of 100 records as a compromise,c
Handling,MultipleChoice,Database Migration,"During a database migration, you need to transfer customer records including EU citizen data to a US-based server.",Cross-border transfers of EU personal data require appropriate safeguards like SCCs under GDPR Chapter V.,hard,Active,,h08,,,,Proceed — it's just a migration,Ensure Standard Contractual Clauses are in place first,Only transfer non-EU customer data,Encrypt the data and proceed without legal review,b
Handling,MultipleChoice,Data Breach Notification,You discover that 500 customer email addresses were accidentally exposed in a public API response for 48 hours.,"Under GDPR Article 33, breaches must be reported to the supervisory authority within 72 hours. Individual notification depends on risk assessment.",hard,Active,,h09,,,,Fix the API and move on,Notify the DPA within 72 hours and assess individual notification needs,Wait to see if anyone noticed,Notify affected customers only,b
Handling,MultipleChoice,Right to Erasure Request,"A customer requests deletion of all their data, but you have a legal obligation to retain financial records for 7 years.","The right to erasure is not absolute. Legal obligations can override it, but you must delete everything not covered by an exemption.",hard,Active,,h10,,,,Delete everything — customer rights come first,"Delete what you can, retain legally required records with documented justification",Refuse the entire request citing legal obligation,Anonymize all records instead of deleting,b
Handling,MultipleChoice,Screen Sharing in Meeting,"During a video call with external partners, you need to share your screen. Your desktop has confidential documents open.","Always share specific application windows, not full desktop. Close or minimize sensitive content before any screen sharing.",easy,Active,,h11,,,,Share full desktop — it's faster,"Close all confidential documents, then share only the relevant application window",Share desktop but minimize sensitive windows,Cancel the screen share entirely,b
Handling,MultipleChoice,Data Retention Policy,Your team has been storing customer support tickets indefinitely. Many contain personal details.,Data minimization requires retention limits proportional to the purpose. Anonymization preserves analytical value while meeting privacy obligations.,hard,Active,,h12,,,,Keep everything — it might be useful,"Implement a retention policy: anonymize after 2 years, delete after 5",Delete all tickets older than 1 month,Move old tickets to a cheaper storage tier,b
Handling,MultipleChoice,Employee Monitoring Disclosure,IT wants to deploy keystroke logging on all employee machines without telling anyone.,"Employee monitoring requires transparency, a legitimate purpose, and proportionality. Covert monitoring is only justified in exceptional circumstances.",hard,Active,,h13,,,,Approve it — security comes first,Require transparent disclosure to employees and a legitimate purpose assessment first,Only monitor executives,Deploy it but tell HR only,b
Handling,MultipleChoice,Password on Sticky Note,You notice a colleague has their system password written on a sticky note attached to their monitor.,Address security hygiene issues directly and constructively. Suggest alternatives like password managers rather than just criticizing.,easy,Active,,h14,,,,Ignore it — it's their problem,Privately tell the colleague and suggest a password manager,Report them to HR immediately,Remove the sticky note yourself,b
Handling,MultipleChoice,AI Training Data,The data science team wants to use production customer data to train a machine learning model.,"Using personal data for AI training requires a DPIA, legitimate basis, and ideally synthetic/anonymized data to minimize privacy risk.",hard,Active,,h15,,,,Allow it — it improves the product,Require use of synthetic or properly anonymized data with a DPIA,Use only 10% of the data as a compromise,Proceed if customers agreed to the ToS,b
Privacy,MultipleChoice,"Under GDPR, what is the maximum time allowed to report a data breach to the supervisory authority?",Your company just discovered an unauthorized access to customer records.,GDPR Article 33 requires breach notification to the supervisory authority within 72 hours of becoming aware.,easy,Active,,p01,,GDPR,,24 hours,72 hours,7 days,30 days,b
Privacy,MultipleChoice,Which GDPR principle requires that personal data be kept no longer than necessary?,You are reviewing your company's data retention policies.,Storage limitation (Article 5(1)(e)) mandates that data is kept in identifiable form only as long as necessary for the processing purpose.,easy,Active,,p02,,GDPR,,Accuracy,Storage limitation,Data minimization,Purpose limitation,b
Privacy,MultipleChoice,What legal basis does NOT apply under GDPR?,Your legal team is evaluating how to justify processing customer data.,GDPR Article 6 lists six legal bases. 'Business convenience' is not one — each basis requires specific justification.,medium,Active,,p03,,GDPR,,Consent,Legitimate interest,Business convenience,Contractual necessity,c
Privacy,MultipleChoice,When is a Data Protection Impact Assessment (DPIA) required under GDPR?,Your team plans to implement facial recognition for building access.,"GDPR Article 35 requires DPIAs when processing is likely to result in high risk, especially with new technologies, profiling, or large-scale processing of sensitive data.",medium,Active,,p04,,GDPR,,For all data processing activities,When processing is likely to result in high risk to individuals,Only when processing children's data,Only for cross-border transfers,b
Privacy,MultipleChoice,"Under GDPR, what right allows individuals to obtain their data in a machine-readable format?",A customer wants to transfer their account data to a competitor's service.,"Data portability (Article 20) enables individuals to receive their data in a structured, commonly used, machine-readable format.",medium,Active,,p05,,GDPR,,Right to erasure,Right to data portability,Right to access,Right to rectification,b
Privacy,MultipleChoice,"A 15-year-old signs up for your social media service. Under GDPR, whose consent do you need?",Your platform is expanding to EU markets and needs to handle minor registrations.,"GDPR Article 8 requires parental consent for children under 16 (or lower age set by member states, minimum 13) for information society services.",hard,Active,,p06,,GDPR,,The child's consent is sufficient,Parental consent required,No consent needed for public platforms,School consent required,b
Privacy,MultipleChoice,Your company's EU representative resigned. You're a US company with EU customers. What must you do?,Legal compliance review reveals the representative gap.,Non-EU controllers must designate an EU representative (Article 27). Operating without one is a compliance violation.,hard,Active,,p07,,GDPR,,Nothing — US law applies,Appoint a new EU representative under Article 27,Stop processing EU data until appointed,Notify the lead supervisory authority only,b
Privacy,MultipleChoice,"Under CCPA, what must a business provide when a consumer requests to know what personal information is collected?",Your California customer service team received a CCPA request.,CCPA Section 1798.110 gives consumers the right to request both categories and specific pieces of personal information a business has collected.,easy,Active,,p08,,CCPA,,Deny the request citing trade secrets,Provide the categories and specific pieces of personal information collected,Direct them to the privacy policy only,Provide aggregate statistics only,b
Privacy,MultipleChoice,Can a business charge different prices to consumers who exercise their CCPA rights?,Marketing wants to offer discounts only to customers who allow data selling.,CCPA's non-discrimination provision (1798.125) prohibits discrimination but allows financial incentives if reasonably related to data value.,medium,Active,,p09,,CCPA,,"Yes, always","No, unless the price difference is directly related to the value of the consumer's data","No, never under any circumstances","Yes, with 30 days notice",b
Privacy,MultipleChoice,What is the minimum age at which a minor can opt-in to the sale of their personal information under CCPA?,Your mobile app has users under 18 in California.,"Under CCPA, minors 13-15 must opt-in themselves; for under 13, a parent/guardian must opt-in. Over 16 follows standard adult rules.",medium,Active,,p10,,CCPA,,13 years old,16 years old,18 years old,No minimum age,b
Privacy,MultipleChoice,A consumer exercises their 'Right to Delete' under CCPA. Which exception allows you to retain data?,"A customer wants all data deleted, but you have an open fraud investigation on their account.","CCPA 1798.105(d) lists exceptions to deletion including detecting security incidents, protecting against fraud, and legal compliance.",hard,Active,,p11,,CCPA,,Marketing purposes,Detecting security incidents or fraud,Future product development,Employee training,b
Privacy,MultipleChoice,"Under CCPA, what notice must be displayed when collecting personal information?",You are designing a new checkout page for California customers.,CCPA 1798.100(b) requires a 'Notice at Collection' that lists the categories of personal information and the purposes for collection.,easy,Active,,p12,,CCPA,,A cookie banner only,A 'Notice at Collection' listing categories and purposes,A link to terms of service,No notice required at point of collection,b
Privacy,MultipleChoice,How long does a business have to respond to a CCPA verifiable consumer request?,Your team just received a consumer data access request.,Businesses must respond within 45 calendar days. A 45-day extension is available with consumer notification for complex requests.,medium,Active,,p13,,CCPA,,10 business days,"45 calendar days, extendable by 45 more",30 calendar days,72 hours,b
Privacy,MultipleChoice,Your website must include which link for CCPA compliance?,Legal is auditing your website for California compliance requirements.,CCPA 1798.135 requires a clear 'Do Not Sell or Share My Personal Information' link on the homepage.,easy,Active,,p14,,CCPA,,'Delete My Data' button,'Do Not Sell or Share My Personal Information' link,'Cookie Preferences' popup,'California Residents Only' page,b
Privacy,MultipleChoice,"Under FERPA, who has the right to access a student's education records?",A parent calls requesting their 17-year-old's high school grades.,"FERPA rights belong to parents until the student turns 18 or attends a postsecondary institution, when rights transfer to the student.",easy,Active,,p15,,FERPA,,Only the student,"Parents, until the student turns 18 or enters postsecondary education",Any family member,The school principal only,b
Privacy,MultipleChoice,Which of the following is considered 'directory information' under FERPA?,The athletics department wants to publish a student athlete roster.,"Directory information includes name, address, phone, dates of attendance, and participation in activities. Schools must give opt-out notice before disclosing.",easy,Active,,p16,,FERPA,,Student grades,Student name and participation in activities,Student Social Security Number,Disciplinary records,b
Privacy,MultipleChoice,A professor wants to post exam grades by student ID number on the classroom door. Is this allowed under FERPA?,"End of semester, and the professor wants a quick way to share grades.",Student ID numbers are PII under FERPA. Posting grades with any identifiable information violates student privacy protections.,medium,Active,,p17,,FERPA,,Yes — student IDs aren't personal information,No — student ID numbers are personally identifiable information under FERPA,"Yes, if the class is small","Yes, if students consented at enrollment",b
Privacy,MultipleChoice,A law enforcement agency requests student records without a subpoena. What should the school do?,Local police are investigating a crime and want access to a student's disciplinary file.,FERPA generally requires a subpoena or court order for law enforcement access. The school must make reasonable effort to notify the student.,hard,Active,,p18,,FERPA,,Provide the records immediately,"Require a court order or subpoena, and notify the student unless legally prohibited",Refuse under all circumstances,Provide only directory information,b
Privacy,MultipleChoice,"A university wants to share student data with a research organization. Under FERPA, what is required?",A research group studying dropout rates wants access to enrollment and grade data.,"FERPA's research exception requires a formal agreement covering purpose limitation, data security, and destruction requirements.",hard,Active,,p19,,FERPA,,No restrictions on sharing for research,"A written agreement limiting use, requiring data destruction after research, and prohibiting re-identification",Student consent for each record,IRB approval only,b
Privacy,MultipleChoice,"After a student turns 18, their parent requests to see the student's grades without the student's consent. What happens?",A concerned parent of a 19-year-old college student calls the registrar.,"At 18, FERPA rights transfer to the student. Parents can only access records with student consent or if the student is their tax dependent.",hard,Active,,p20,,FERPA,,The school must comply — parents always have access,The school must deny unless the student provides written consent or is a tax dependent,The school can share grades but not disciplinary records,The school can share only if the student is failing,b
Camera,Camera,tailgating,Person entering behind an employee without badging in,Tailgating is when an unauthorized person follows an authorized person through a secure entrance. Always ensure doors close between entries.,easy,Active,,c01,,,,,,,,
Camera,Camera,unattendedBag,Unattended backpack left near the reception desk,Unattended bags in lobbies pose both security and safety risks. Report immediately and do not touch.,easy,Active,,c02,,,,,,,,
Camera,Camera,photography,Visitor taking photos of the security badge reader system,Photographing security infrastructure could indicate reconnaissance for a social engineering or physical attack.,medium,Active,,c03,,,,,,,,
Camera,Camera,socialEngineering,Person in delivery uniform asking receptionist to hold the door to the secure area,Social engineering often involves impersonating delivery personnel or contractors to gain physical access.,hard,Active,,c04,,,,,,,,
Camera,Camera,unauthorizedAccess,Person without a visible badge accessing server racks,Server rooms require visible badge access. Anyone without proper identification must be challenged and reported.,easy,Active,,c05,,,,,,,,
Camera,Camera,usbDevice,Someone inserting a USB device into a server,Unauthorized USB devices in server rooms can introduce malware or exfiltrate data. Only authorized maintenance should use removable media.,medium,Active,,c06,,,,,,,,
Camera,Camera,photography,Individual photographing server rack labels and cable configurations,Photographing server infrastructure reveals network topology and hardware details useful for planning cyberattacks.,hard,Active,,c07,,,,,,,,
Camera,Camera,propping,Fire exit door propped open with a wedge,Propped doors bypass physical access controls. Fire exits should only be used for emergencies and always self-close.,medium,Active,,c08,,,,,,,,
Camera,Camera,shoulderSurfing,Person standing behind a colleague viewing their screen while typing a password,Shoulder surfing is a low-tech but effective way to steal credentials. Use privacy screens and be aware of your surroundings.,medium,Active,,c09,,,,,,,,
Camera,Camera,cleanDesk,Desk left with confidential documents visible and workstation unlocked overnight,Clean desk policies prevent unauthorized viewing of sensitive information. Always lock your workstation and store documents when leaving.,easy,Active,,c10,,,,,,,,
Camera,Camera,unauthorizedAccess,Unknown individual walking through office without a visitor badge,All visitors must wear visible badges. Challenge anyone without proper identification politely but firmly.,easy,Active,,c11,,,,,,,,
Camera,Camera,dataExfiltration,Employee photographing whiteboard with project roadmap and customer names,Photographing confidential information on whiteboards is a form of data exfiltration. Erase boards after meetings.,hard,Active,,c12,,,,,,,,
Camera,Camera,eavesdropping,Person lingering outside conference room during a confidential meeting,Confidential meetings should use rooms with sound insulation. Be aware of people lingering near meeting spaces.,medium,Active,,c13,,,,,,,,
Camera,Camera,recordingDevice,Small recording device spotted under the conference table,Bug sweeps should be conducted regularly in rooms used for sensitive discussions. Report any suspicious devices immediately.,hard,Active,,c14,,,,,,,,
Camera,Camera,unattendedLaptop,Laptop left open and unlocked in empty conference room,Unattended unlocked devices are easy targets for data theft or malware installation. Always lock or take your device with you.,easy,Active,,c15,,,,,,,,
